cGameData	0x17f243b
CulturalAir	0xad76c2cd
CulturalLand	0x0222ded4
CulturalSea	0xa5a3d5a4
EconomicAir	0x85e38d82
EconomicLand	0x13d90629
EconomicSea	0x6605edb3
Editable	0xd59e9335
Entertainment	0x36f60725
Factory	0x51fbb249
Flora	0x5bdcec35
FloraLarge	0xe6bdcc2e
FloraMedium	0x3fa39f40
FloraSmall	0xd318ddca
Home	0xbda06a7c
House	0xddc202b3
LoadableCivCreatures	0xc3fde0b5
LoadableSpaceCreatures	0x838c8f5d
LoadableTribeCreatures	0x14f090cb
MilitaryAir	0xfa167da8
MilitaryLand	0xdf036863
MilitarySea	0xda41d879
Music	0xedf036d6
Planets	0xb09abbda
Scans	0x72e47835
SpaceGame	0x2db6dad3
TRG_StarterCreatures	0x996d126c
TribeGame	0xf71fa311
UserCreated	0x37216f9c
UserPollinated	0x89ca8a12
ValidCivCreatures	0x01888b0d
ValidSpaceCreatures	0x11886885
ValidTribeCreatures	0xed942043
Vehicles	0x39e64a16
CreatureAdventurer	0x8df88930
FixedObjectAudio	0x0ffc2cee
FixedObjectAudioCrowd	0x14e37d55
FixedObjectAudioEnvironment	0x422cb40d
FixedObjectAudioMechanical	0x16c10bff
FixedObjectAudioMusic	0x96b21af3
FixedObjectAudioNote	0x59fb17b2
FixedObjectAudioOneshot	0x882bad3e
FixedObjectEffect	0x1cccd45b
FixedObjectEffectContinuous	0x15553342
FixedObjectEffectLights	0xafecbb58
FixedObjectEffectNature	0xdacede62
FixedObjectEffectOneshot	0xc68095c9
FixedObjectEffectSciFi	0xdf3a3835
FixedObjectEffectWhimsical	0xce3a2e8c
FixedObjectFlora	0xf25f3e76
FixedObjectFloraLarge	0x015677bf
FixedObjectFloraMedium	0x28c176eb
FixedObjectFloraSmall	0xdb5cad8b
FixedObjectGameplay	0x41b55d34
FixedObjectRock	0x27100213
FixedObjectCanBeHeld	0xa20b0db0
FixedObjects	0x61265923
FixedObjectStaticObject	0xe782b1b7
LoadableAdventurerCreatures	0xd2050cb7
ScenarioGenreAttack	0x287adcdc
ScenarioGenreCollect	0x25a6ea6e
ScenarioGenreDefend	0xc34c5e14
ScenarioGenreExplore	0x37fd4e0d
ScenarioGenrePuzzle	0xe27ddad4
ScenarioGenreQuest	0xc422519e
ScenarioGenreSocialize	0xfb734cd1
ScenarioGenreStory	0xb4707f8f
ScenarioGenreTemplate	0x27818fe6
ScenarioPlanet	0x24720859
ScenarioPlayable	0x14e497ed
Scenarios	0x8d780fde
ScenarioUnset	0x20790816
ScenarioUsable	0x0647493b
ValidAdventurerCreatures	0x5144c45f
reversed	0x17f3adef

LRUMetaData	0x2e5a9763

arth	0x472329b
look_algorithm	0xdba35ae2
backgroundMap	0x612b3191
effectMap	0x433fb70c
pollen_metadata.bak	0xe1e7f839
avi	0x41e19be
uiTexture	0xef7d16e1
activeLog	0x2c23df7
cPlanetRecord	0x5220cb8

mrk	0x2b7df427

audioProp	0x2b9f662


audioProp	0x2b9f662


audioProp	0x2b9f662








16bitImage	0x3e421f0




ttf	0x276CA4B9
LootSuffix.bin	0x447DC2E5
bak.png	0xDEAF6ADE
bak2.png	0xDC74130E
adv 0x366a930d












